Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
58,2025-12-23,03:04,buy,125.41,0.24,30.098399999999998,0.0300984,1.8760000000000008,545.9656999999997,309.14676000000003
59,2025-12-23,03:04,buy,125.41,0.017,2.13197,0.00213197,1.8930000000000011,548.0976699999998,309.14676000000003
60,2025-12-23,06:17,buy,124.41,0.219,27.24579,0.02724579,2.1120000000000014,575.3434599999998,309.14676000000003
61,2025-12-23,13:36,buy,123.42,0.217,26.782140000000002,0.02678214,2.329000000000001,602.1255999999998,309.14676000000003
62,2025-12-23,14:55,buy,122.42,0.219,26.80998,0.02680998,2.5480000000000014,628.9355799999998,309.14676000000003
63,2025-12-23,16:41,sell,124.41,0.217,26.996969999999997,0.02699697,2.3310000000000013,628.9355799999998,336.14373
64,2025-12-23,20:44,sell,125.39,0.219,27.46041,0.02746041,2.1120000000000014,628.9355799999998,363.60414000000003
65,2025-12-24,01:41,buy,123.35,0.311,38.36185,0.03836185,2.4230000000000014,667.2974299999998,363.60414000000003
66,2025-12-24,02:09,buy,122.55,0.228,27.9414,0.0279414,2.651000000000001,695.2388299999999,363.60414000000003
67,2025-12-24,05:29,buy,121.41,0.338,41.03658,0.041036579999999996,2.989000000000001,736.2754099999999,363.60414000000003
68,2025-12-24,16:33,sell,123.43,0.332,40.97876,0.04097876,2.6570000000000014,736.2754099999999,404.58290000000005
69,2025-12-25,00:44,buy,122.22,0.325,39.7215,0.0397215,2.9820000000000015,775.9969099999998,404.58290000000005
70,2025-12-25,02:40,sell,122.9,0.325,39.9425,0.0399425,2.6570000000000014,775.9969099999998,444.52540000000005
71,2025-12-25,10:35,buy,121.54,0.253,30.74962,0.030749620000000005,2.9100000000000015,806.7465299999999,444.52540000000005
72,2025-12-25,13:43,sell,122.21,0.253,30.91913,0.03091913,2.6570000000000014,806.7465299999999,475.44453000000004
73,2025-12-25,15:44,sell,123.58,0.321,39.66918,0.03966918,2.336000000000001,806.7465299999999,515.1137100000001
74,2025-12-25,16:25,sell,124.26,0.247,30.692220000000002,0.03069222,2.0890000000000013,806.7465299999999,545.8059300000001
75,2025-12-25,16:51,buy,123.57,0.247,30.52179,0.030521789999999997,2.336000000000001,837.2683199999999,545.8059300000001
76,2025-12-25,20:03,buy,123.32,0.377,46.49164,0.04649164,2.713000000000001,883.7599599999999,545.8059300000001
77,2025-12-25,22:41,buy,122.62,0.292,35.80504,0.03580504,3.005000000000001,919.5649999999998,545.8059300000001
78,2025-12-25,22:47,buy,121.93,0.219,26.70267,0.02670267,3.224000000000001,946.2676699999998,545.8059300000001
79,2025-12-25,23:32,buy,121.24,0.22,26.6728,0.0266728,3.444000000000001,972.9404699999999,545.8059300000001
80,2025-12-25,23:36,buy,120.54,0.221,26.63934,0.02663934,3.665000000000001,999.5798099999998,545.8059300000001
81,2025-12-26,02:02,sell,121.21,0.221,26.787409999999998,0.02678741,3.444000000000001,999.5798099999998,572.5933400000001
82,2025-12-26,02:13,sell,121.92,0.22,26.822400000000002,0.0268224,3.224000000000001,999.5798099999998,599.4157400000001
83,2025-12-26,02:15,sell,122.84,0.352,43.23968,0.04323968,2.8720000000000008,999.5798099999998,642.6554200000002
84,2025-12-26,02:21,sell,123.71,0.24,29.690399999999997,0.0296904,2.6320000000000006,999.5798099999998,672.3458200000001
85,2025-12-26,13:48,sell,124.58,0.213,26.535539999999997,0.02653554,2.4190000000000005,999.5798099999998,698.8813600000001
86,2025-12-26,15:02,buy,121.1,0.357,43.232699999999994,0.0432327,2.776,1042.8125099999997,698.8813600000001
87,2025-12-26,15:47,sell,121.96,0.357,43.539719999999996,0.04353972,2.4189999999999996,1042.8125099999997,742.4210800000001
88,2025-12-27,15:13,sell,123.36,0.34,41.942400000000006,0.0419424,2.0789999999999997,1042.8125099999997,784.3634800000001
89,2025-12-27,21:13,sell,123.88,0.283,35.05804,0.03505804,1.7959999999999994,1042.8125099999997,819.4215200000001
90,2025-12-27,21:50,sell,124.41,0.226,28.11666,0.02811666,1.5699999999999994,1042.8125099999997,847.5381800000001
91,2025-12-27,22:15,sell,124.93,0.182,22.73726,0.02273726,1.387999999999999,1042.8125099999997,870.2754400000001
92,2025-12-27,22:24,buy,124.4,0.182,22.6408,0.022640800000000003,1.5699999999999994,1065.4533099999996,870.2754400000001
93,2025-12-27,23:47,sell,124.93,0.182,22.73726,0.02273726,1.387999999999999,1065.4533099999996,893.0127000000001
94,2025-12-28,00:15,buy,124.4,0.182,22.6408,0.022640800000000003,1.5699999999999994,1088.0941099999995,893.0127000000001
95,2025-12-28,18:47,buy,123.35,0.283,34.908049999999996,0.034908049999999996,1.8529999999999989,1123.0021599999995,893.0127000000001
96,2025-12-28,23:49,sell,125.45,0.182,22.8319,0.0228319,1.6709999999999985,1123.0021599999995,915.8446000000001
97,2025-12-29,00:23,sell,125.97,0.181,22.80057,0.02280057,1.4899999999999984,1123.0021599999995,938.6451700000001
