Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
18,2025-12-09,15:51,sell,92758.26,0.00009,8.3482434,0.00834824,0.0002000000000000003,117.819198,98.8063315
19,2025-12-09,16:16,sell,93613.85,0.00009,8.425246500000002,0.00842525,0.00011000000000000029,117.819198,107.231578
20,2025-12-10,11:46,buy,91832.17,0.00044,40.4061548,0.0404061548,0.0005500000000000004,158.2253528,107.231578
21,2025-12-10,18:36,sell,92740.13,0.00043,39.8782559,0.03987826,0.00012000000000000031,158.2253528,147.1098339
22,2025-12-10,19:00,sell,93082.87,0.00011,10.2391157,0.01023912,0.000010000000000000243,158.2253528,157.34894960000003
23,2025-12-11,00:34,buy,91496.75,0.0004,36.5987,0.0365987,0.0004100000000000004,194.8240528,157.34894960000003
24,2025-12-11,14:56,buy,89333.99,0.00022,19.6534778,0.019653477800000003,0.0006300000000000006,214.4775306,157.34894960000003
25,2025-12-12,15:16,buy,91785.03,0.00028,25.6998084,0.025699808400000003,0.0009100000000000004,240.177339,157.34894960000003
26,2025-12-12,15:41,buy,90243.71,0.00029,26.170675900000003,0.0261706759,0.0012000000000000003,266.3480149,157.34894960000003
27,2025-12-12,15:58,buy,89965.94,0.00027,24.290803800000003,0.0242908038,0.0014700000000000002,290.6388187,157.34894960000003
28,2025-12-13,14:30,buy,89959.73,0.00024,21.5903352,0.021590335199999998,0.0017100000000000004,312.22915390000003,157.34894960000003
29,2025-12-13,21:32,buy,89889.54,0.00023,20.674594199999998,0.020674594199999997,0.0019400000000000005,332.90374810000003,157.34894960000003
30,2025-12-14,11:03,buy,89743.2,0.00015,13.461479999999998,0.01346148,0.0020900000000000007,346.3652281,157.34894960000003
31,2025-12-14,11:37,buy,89378.38,0.00013,11.6191894,0.0116191894,0.0022200000000000006,357.9844175,157.34894960000003
32,2025-12-14,11:44,buy,89013.57,0.0001,8.901357,0.008901357,0.002320000000000001,366.8857745,157.34894960000003
33,2025-12-14,22:30,buy,88289.43,0.00016,14.1263088,0.0141263088,0.0024800000000000013,381.01208330000003,157.34894960000003
34,2025-12-14,23:32,buy,87632.86,0.0001,8.763286,0.008763286,0.0025800000000000016,389.7753693,157.34894960000003
35,2025-12-15,01:38,sell,89160.1,0.00025,22.290025000000004,0.02229003,0.0023300000000000018,389.7753693,179.63897460000004
36,2025-12-15,02:17,sell,89657.19,0.00019,17.034866100000002,0.01703487,0.0021400000000000017,389.7753693,196.67384070000003
37,2025-12-15,14:56,buy,88165.92,0.00026,22.923139199999998,0.022923139199999998,0.0024000000000000015,412.6985085,196.67384070000003
38,2025-12-15,15:03,buy,87668.83,0.0002,17.533766,0.017533766,0.002600000000000001,430.2322745,196.67384070000003
39,2025-12-15,15:16,buy,87171.75,0.00015,13.0757625,0.0130757625,0.002750000000000001,443.308037,196.67384070000003
40,2025-12-15,15:40,buy,86674.66,0.00015,13.001199,0.013001199,0.002900000000000001,456.309236,196.67384070000003
41,2025-12-15,17:32,buy,85940.12,0.00035,30.079041999999998,0.030079041999999997,0.0032500000000000007,486.388278,196.67384070000003
